,Smiles,Property,Value,Units
679,CC(=C)C(=O)NC(C)(C)C,Preferred Calculated Density,1.02,g mL-1
680,C=CC(=O)c1ccccc1,Density,1.19,g mL-1
681,C=CC(=O)c1ccccc1,Calculated Density,1.13 - 1.21,g mL-1
682,C=CC(=O)c1ccccc1,Preferred Calculated Density,1.17,g mL-1
683,Oc1c(cccc1c1ccccc1)c1ccccc1,Density,1.14,g mL-1
684,Oc1c(cccc1c1ccccc1)c1ccccc1,Calculated Density,1.12 - 1.18,g mL-1
685,Oc1c(cccc1c1ccccc1)c1ccccc1,Preferred Calculated Density,1.15,g mL-1
686,CC(C)OC(=O)C=C,Density,1.08,g mL-1
687,CC(C)OC(=O)C=C,Calculated Density,1.07 - 1.12,g mL-1
688,CC(C)OC(=O)C=C,Preferred Calculated Density,1.1,g mL-1
689,"C[Si](C)(Cl)Cl, CO[Si](C)(C)OC",Density,0.965 - 0.97,g mL-1
690,"C[Si](C)(Cl)Cl, CO[Si](C)(C)OC",Preferred Density,0.965,g mL-1
691,CCCCCCOC(=O)C(=C)C,Density,1.01,g mL-1
692,CCCCCCOC(=O)C(=C)C,Preferred Density,1.01,g mL-1
693,CCCCCCOC(=O)C(=C)C,Calculated Density,1.01 - 1.04,g mL-1
694,CCCCCCOC(=O)C(=C)C,Preferred Calculated Density,1.03,g mL-1
695,ClCC(C)Cl.[Na]S[Na],Density,1.03 - 1.13,g mL-1
696,ClCC(C)Cl.[Na]S[Na],Preferred Density,1.08,g mL-1
697,ClCC(C)Cl.[Na]S[Na],Calculated Density,1.10 - 1.15,g mL-1
698,ClCC(C)Cl.[Na]S[Na],Preferred Calculated Density,1.12,g mL-1
699,CCCCOC(=O)C(=C)C#N,Calculated Density,1.14 - 1.19,g mL-1
700,CCCCOC(=O)C(=C)C#N,Preferred Calculated Density,1.17,g mL-1
701,O=C1OCC(=O)OC1,Density,1.50 - 1.60,g mL-1
702,O=C1OCC(=O)OC1,Preferred Density,1.52,g mL-1
703,O=C1OCC(=O)OC1,Calculated Density,1.48 - 1.67,g mL-1
704,O=C1OCC(=O)OC1,Preferred Calculated Density,1.58,g mL-1
705,CCCCOC=C,Density,0.91 - 0.93,g mL-1
706,CCCCOC=C,Preferred Density,0.92,g mL-1
707,CCCCOC=C,Calculated Density,0.92 - 0.93,g mL-1
708,CCCCOC=C,Preferred Calculated Density,0.93,g mL-1
709,CCCCCCCCCCCCCCCCCC(=O)OC=C,Density,1,g mL-1
710,CCCCCCCCCCCCCCCCCC(=O)OC=C,Calculated Density,0.93 - 0.97,g mL-1
711,CCCCCCCCCCCCCCCCCC(=O)OC=C,Preferred Calculated Density,0.95,g mL-1
712,CC(c1ccc(cc1)OCC1OC1)(c1ccc(cc1)OCC1OC1)C.NCCCCCCN,Calculated Density,1.09 - 1.10,g mL-1
713,CC(c1ccc(cc1)OCC1OC1)(c1ccc(cc1)OCC1OC1)C.NCCCCCCN,Preferred Calculated Density,1.1,g mL-1
714,[O-]C(=O)[O-].[Na+].[Na+].O=C(c1ccc(cc1)Cl)c1ccc(cc1)Cl,Density,1.27,g mL-1
715,[O-]C(=O)[O-].[Na+].[Na+].O=C(c1ccc(cc1)Cl)c1ccc(cc1)Cl,Density,1.43,g mL-1
716,[O-]C(=O)[O-].[Na+].[Na+].O=C(c1ccc(cc1)Cl)c1ccc(cc1)Cl,Calculated Density,1.22 - 1.27,g mL-1
717,[O-]C(=O)[O-].[Na+].[Na+].O=C(c1ccc(cc1)Cl)c1ccc(cc1)Cl,Preferred Calculated Density,1.24,g mL-1
718,CCCCCCCCOC(=O)C=C,Density,0.98,g mL-1
719,CCCCCCCCOC(=O)C=C,Calculated Density,0.99 - 1.03,g mL-1
720,CCCCCCCCOC(=O)C=C,Preferred Calculated Density,1.01,g mL-1
721,NCCCCCCCCCCCC(=O)O,Density,0.99 - 1.01,g mL-1
722,NCCCCCCCCCCCC(=O)O,Preferred Density,1,g mL-1
723,NCCCCCCCCCCCC(=O)O,Calculated Density,0.96 - 0.99,g mL-1
724,NCCCCCCCCCCCC(=O)O,Preferred Calculated Density,0.97,g mL-1
725,CCCCCCCCCCOC(=O)C(=C)C,Density,0.95,g mL-1
726,CCCCCCCCCCOC(=O)C(=C)C,Calculated Density,0.96 - 0.98,g mL-1
727,CCCCCCCCCCOC(=O)C(=C)C,Preferred Calculated Density,0.97,g mL-1
728,OC(=O)c1ccc(cc1)C(=O)O.OCCO,Density,1.33 - 1.48,g mL-1
729,OC(=O)c1ccc(cc1)C(=O)O.OCCO,Preferred Density,1.33,g mL-1
730,OC(=O)c1ccc(cc1)C(=O)O.OCCO,Calculated Density,1.31 - 1.43,g mL-1
731,OC(=O)c1ccc(cc1)C(=O)O.OCCO,Preferred Calculated Density,1.36,g mL-1
732,OC(=O)c1ccc(cc1)C(=O)O.OCC1CCC(CC1)CO,Density,1.19 - 1.20,g mL-1
733,OC(=O)c1ccc(cc1)C(=O)O.OCC1CCC(CC1)CO,Preferred Density,1.2,g mL-1
